object,point_#,x,y
hole 5 turf wall,1,704,597
hole 5 turf wall,2,712,602
hole 5 turf wall,3,719,598
hole 5 turf wall,4,728,591
hole 5 turf wall,5,731,576
hole 5 turf wall,6,733,559
hole 5 turf wall,7,733,533
hole 5 turf wall,8,732,518
hole 5 turf wall,9,732,490
hole 5 turf wall,10,732,472
hole 5 turf wall,11,731,461
hole 5 turf wall,12,727,456
hole 5 turf wall,13,724,458
hole 5 turf wall,14,724,475
hole 5 turf wall,15,724,502
hole 5 turf wall,16,724,525
hole 5 turf wall,17,725,548
hole 5 turf wall,18,724,558
hole 5 turf wall,19,721,565
hole 5 turf wall,20,722,577
hole 5 turf wall,21,712,588
wall 2,1,738,649
wall 2,2,738,655
wall 2,3,744,655
wall 2,4,753,650
wall 2,5,758,643
wall 2,6,760,638
wall 2,7,762,617
wall 2,8,762,602
wall 2,9,765,590
wall 2,10,769,580
wall 2,11,769,572
wall 2,12,770,562
wall 2,13,775,558
wall 2,14,784,547
wall 2,15,789,536
wall 2,16,794,528
wall 2,17,800,519
wall 2,18,807,510
wall 2,19,813,494
wall 2,20,816,487
wall 2,21,816,477
wall 2,22,816,470
wall 2,23,813,462
wall 2,24,812,455
wall 2,25,809,450
wall 2,26,805,442
wall 2,27,801,427
wall 2,28,800,422
wall 2,29,797,411
wall 2,30,794,404
wall 2,31,791,396
wall 2,32,780,385
wall 2,33,769,380
wall 2,34,756,380
wall 2,35,745,381
wall 2,36,738,385
wall 2,37,729,395
wall 2,38,725,404
wall 2,39,723,414
wall 2,40,722,423
wall 2,41,725,426
wall 2,42,730,423
wall 2,43,732,415
wall 2,44,734,406
wall 2,45,738,399
wall 2,46,742,393
wall 2,47,748,390
wall 2,48,756,387
wall 2,49,767,388
wall 2,50,771,394
wall 2,51,774,400
wall 2,52,777,405
wall 2,53,779,409
wall 2,54,783,410
wall 2,55,786,413
wall 2,56,788,417
wall 2,57,790,420
wall 2,58,792,425
wall 2,59,793,430
wall 2,60,795,437
wall 2,61,798,445
wall 2,62,800,452
wall 2,63,804,459
wall 2,64,806,465
wall 2,65,807,472
wall 2,66,807,485
wall 2,67,807,490
wall 2,68,805,494
wall 2,69,799,505
wall 2,70,794,513
wall 2,71,791,518
wall 2,72,786,526
wall 2,73,782,531
wall 2,74,779,537
wall 2,75,776,542
wall 2,76,773,546
wall 2,77,770,551
wall 2,78,765,554
wall 2,79,763,569
wall 2,80,760,579
wall 2,81,755,591
wall 2,82,752,600
wall 2,83,750,605
wall 2,84,750,638
wall 2,85,747,643
wall 2,86,744,647
