object,point_#,x,y
hole 8 turf wall,1,402,792
hole 8 turf wall,2,382,790
hole 8 turf wall,3,363,780
hole 8 turf wall,4,353,771
hole 8 turf wall,5,353,754
hole 8 turf wall,6,355,741
hole 8 turf wall,7,370,726
hole 8 turf wall,8,382,719
hole 8 turf wall,9,394,713
hole 8 turf wall,10,401,708
hole 8 turf wall,11,411,703
hole 8 turf wall,12,418,698
hole 8 turf wall,13,426,693
hole 8 turf wall,14,433,690
hole 8 turf wall,15,441,686
hole 8 turf wall,16,452,678
hole 8 turf wall,17,463,671
hole 8 turf wall,18,473,667
hole 8 turf wall,19,486,659
hole 8 turf wall,20,496,652
hole 8 turf wall,21,505,651
hole 8 turf wall,22,513,646
hole 8 turf wall,23,525,646
hole 8 turf wall,24,540,646
hole 8 turf wall,25,558,646
hole 8 turf wall,26,561,652
hole 8 turf wall,27,556,653
hole 8 turf wall,28,546,653
hole 8 turf wall,29,535,654
hole 8 turf wall,30,519,655
hole 8 turf wall,31,509,659
hole 8 turf wall,32,497,662
hole 8 turf wall,33,489,668
hole 8 turf wall,34,481,671
hole 8 turf wall,35,474,676
hole 8 turf wall,36,463,683
hole 8 turf wall,37,452,690
hole 8 turf wall,38,438,697
hole 8 turf wall,39,422,707
hole 8 turf wall,40,411,713
hole 8 turf wall,41,392,723
hole 8 turf wall,42,382,728
hole 8 turf wall,43,374,734
hole 8 turf wall,44,365,742
hole 8 turf wall,45,362,751
hole 8 turf wall,46,364,765
hole 8 turf wall,47,368,772
hole 8 turf wall,48,379,779
hole 8 turf wall,49,393,781
hole 8 turf wall,50,401,783
turf wall 2,1,430,775
turf wall 2,2,432,781
turf wall 2,3,436,781
turf wall 2,4,444,772
turf wall 2,5,449,764
turf wall 2,6,452,759
turf wall 2,7,453,752
turf wall 2,8,456,749
turf wall 2,9,460,740
turf wall 2,10,463,736
turf wall 2,11,469,730
turf wall 2,12,473,725
turf wall 2,13,478,720
turf wall 2,14,486,714
turf wall 2,15,493,711
turf wall 2,16,498,709
turf wall 2,17,505,707
turf wall 2,18,510,705
turf wall 2,19,513,704
turf wall 2,20,547,704
turf wall 2,21,553,707
turf wall 2,22,557,707
turf wall 2,23,567,707
turf wall 2,24,570,704
turf wall 2,25,574,701
turf wall 2,26,573,694
turf wall 2,27,558,693
turf wall 2,28,553,695
turf wall 2,29,523,696
turf wall 2,30,515,697
turf wall 2,31,504,696
turf wall 2,32,504,700
turf wall 2,33,496,700
turf wall 2,34,494,703
turf wall 2,35,488,704
turf wall 2,36,487,707
turf wall 2,37,482,708
turf wall 2,38,478,712
turf wall 2,39,474,713
turf wall 2,40,472,717
turf wall 2,41,469,718
turf wall 2,42,465,722
turf wall 2,43,462,725
turf wall 2,44,460,728
turf wall 2,45,455,731
turf wall 2,46,451,739
turf wall 2,47,447,749
turf wall 2,48,445,758
turf wall 2,49,442,761
turf wall 2,50,440,765
turf wall 2,51,438,769
turf wall 2,52,433,772
