object,point_#,x,y
hole 8 turf wall,1,632,193
hole 8 turf wall,2,637,193
hole 8 turf wall,3,638,205
hole 8 turf wall,4,638,213
hole 8 turf wall,5,637,225
hole 8 turf wall,6,637,239
hole 8 turf wall,7,639,250
hole 8 turf wall,8,642,262
hole 8 turf wall,9,645,274
hole 8 turf wall,10,646,281
hole 8 turf wall,11,640,278
hole 8 turf wall,12,636,270
hole 8 turf wall,13,633,259
hole 8 turf wall,14,632,241
hole 8 turf wall,15,631,228
hole 8 turf wall,16,630,213
hole 8 turf wall,17,630,204
wall 2,1,672,265
wall 2,2,675,252
wall 2,3,675,238
wall 2,4,679,229
wall 2,5,683,223
wall 2,6,685,218
wall 2,7,693,213
wall 2,8,700,212
wall 2,9,705,211
wall 2,10,713,211
wall 2,11,720,212
wall 2,12,726,210
wall 2,13,732,214
wall 2,14,737,219
wall 2,15,740,225
wall 2,16,746,233
wall 2,17,749,240
wall 2,18,749,252
wall 2,19,749,262
wall 2,20,748,270
wall 2,21,742,271
wall 2,22,741,262
wall 2,23,741,250
wall 2,24,741,242
wall 2,25,740,236
wall 2,26,737,227
wall 2,27,730,221
wall 2,28,723,219
wall 2,29,715,216
wall 2,30,700,216
wall 2,31,692,219
wall 2,32,689,223
wall 2,33,685,230
wall 2,34,684,241
wall 2,35,682,248
wall 2,36,681,258
wall 2,37,678,267
wall 3,1,785,208
wall 3,2,789,209
wall 3,3,789,218
wall 3,4,789,226
wall 3,5,789,233
wall 3,6,790,238
wall 3,7,790,247
wall 3,8,790,255
wall 3,9,788,260
wall 3,10,785,266
wall 3,11,781,270
wall 3,12,777,275
wall 3,13,772,278
wall 3,14,767,278
wall 3,15,766,274
wall 3,16,774,271
wall 3,17,777,267
wall 3,18,782,262
wall 3,19,785,254
wall 3,20,783,242
wall 3,21,785,234
wall 3,22,784,227
wall 3,23,784,220
wall 3,24,784,212
