object,point_#,x,y
hole 13 turf wall,1,439,298
hole 13 turf wall,2,431,295
hole 13 turf wall,3,429,305
hole 13 turf wall,4,430,315
hole 13 turf wall,5,433,322
hole 13 turf wall,6,442,331
hole 13 turf wall,7,450,334
hole 13 turf wall,8,464,334
hole 13 turf wall,9,475,332
hole 13 turf wall,10,482,331
hole 13 turf wall,11,488,330
hole 13 turf wall,12,500,327
hole 13 turf wall,13,506,324
hole 13 turf wall,14,512,319
hole 13 turf wall,15,520,316
hole 13 turf wall,16,526,312
hole 13 turf wall,17,533,308
hole 13 turf wall,18,555,294
hole 13 turf wall,19,565,285
hole 13 turf wall,20,576,272
hole 13 turf wall,21,584,259
hole 13 turf wall,22,593,246
hole 13 turf wall,23,599,223
hole 13 turf wall,24,604,201
hole 13 turf wall,25,608,178
hole 13 turf wall,26,610,160
hole 13 turf wall,27,610,137
hole 13 turf wall,28,599,123
hole 13 turf wall,29,584,113
hole 13 turf wall,30,571,109
hole 13 turf wall,31,558,110
hole 13 turf wall,32,546,112
hole 13 turf wall,33,534,117
hole 13 turf wall,34,529,120
hole 13 turf wall,35,518,130
hole 13 turf wall,36,515,143
hole 13 turf wall,37,515,154
hole 13 turf wall,38,521,155
hole 13 turf wall,39,522,142
hole 13 turf wall,40,530,131
hole 13 turf wall,41,537,125
hole 13 turf wall,42,547,121
hole 13 turf wall,43,555,119
hole 13 turf wall,44,562,119
hole 13 turf wall,45,570,120
hole 13 turf wall,46,578,120
hole 13 turf wall,47,588,125
hole 13 turf wall,48,598,135
hole 13 turf wall,49,601,142
hole 13 turf wall,50,602,154
hole 13 turf wall,51,602,167
hole 13 turf wall,52,601,179
hole 13 turf wall,53,597,191
hole 13 turf wall,54,594,208
hole 13 turf wall,55,592,220
hole 13 turf wall,56,586,234
hole 13 turf wall,57,578,254
hole 13 turf wall,58,569,265
hole 13 turf wall,59,562,273
hole 13 turf wall,60,552,284
hole 13 turf wall,61,541,291
hole 13 turf wall,62,528,301
hole 13 turf wall,63,514,304
hole 13 turf wall,64,499,306
hole 13 turf wall,65,484,312
hole 13 turf wall,66,474,318
hole 13 turf wall,67,469,321
hole 13 turf wall,68,462,322
hole 13 turf wall,69,454,323
hole 13 turf wall,70,447,323
hole 13 turf wall,71,441,315
hole 13 turf wall,72,439,307
wall 2,1,465,276
wall 2,2,467,283
wall 2,3,475,277
wall 2,4,480,272
wall 2,5,490,264
wall 2,6,492,255
wall 2,7,493,249
wall 2,8,497,244
wall 2,9,495,236
wall 2,10,487,243
wall 2,11,485,248
wall 2,12,479,258
wall 2,13,472,265
wall,1,531,266
wall,2,535,258
wall,3,539,250
wall,4,543,244
wall,5,549,238
wall,6,547,232
wall,7,537,229
wall,8,525,224
wall,9,512,219
wall,10,499,216
wall,11,490,219
wall,12,483,220
wall,13,472,227
wall,14,457,237
wall,15,445,239
wall,16,445,232
wall,17,454,227
wall,18,465,221
wall,19,475,213
wall,20,483,208
wall,21,490,203
wall,22,498,194
wall,23,503,185
wall,24,510,184
wall,25,510,190
wall,26,508,198
wall,27,509,206
wall,28,514,210
wall,29,523,213
wall,30,528,216
wall,31,537,218
wall,32,547,223
wall,33,557,228
wall,34,559,240
wall,35,557,249
wall,36,553,259
wall,37,546,265
wall,38,538,270
