object,point_#,x,y
holee 12 turf wall,1,302,292
holee 12 turf wall,2,298,299
holee 12 turf wall,3,287,299
holee 12 turf wall,4,274,286
holee 12 turf wall,5,263,274
holee 12 turf wall,6,260,261
holee 12 turf wall,7,260,248
holee 12 turf wall,8,261,233
holee 12 turf wall,9,266,225
holee 12 turf wall,10,274,211
holee 12 turf wall,11,282,203
holee 12 turf wall,12,287,202
holee 12 turf wall,13,300,189
holee 12 turf wall,14,311,181
holee 12 turf wall,15,320,173
holee 12 turf wall,16,331,169
holee 12 turf wall,17,343,161
holee 12 turf wall,18,352,153
holee 12 turf wall,19,369,151
holee 12 turf wall,20,378,151
holee 12 turf wall,21,386,145
holee 12 turf wall,22,401,136
holee 12 turf wall,23,416,129
holee 12 turf wall,24,432,125
holee 12 turf wall,25,446,122
holee 12 turf wall,26,455,125
holee 12 turf wall,27,463,131
holee 12 turf wall,28,473,136
holee 12 turf wall,29,478,141
holee 12 turf wall,30,484,148
holee 12 turf wall,31,488,159
holee 12 turf wall,32,488,168
holee 12 turf wall,33,487,175
holee 12 turf wall,34,484,183
holee 12 turf wall,35,482,187
holee 12 turf wall,36,474,188
holee 12 turf wall,37,474,182
holee 12 turf wall,38,478,174
holee 12 turf wall,39,479,160
holee 12 turf wall,40,475,148
holee 12 turf wall,41,467,141
holee 12 turf wall,42,457,134
holee 12 turf wall,43,447,131
holee 12 turf wall,44,433,131
holee 12 turf wall,45,422,134
holee 12 turf wall,46,412,139
holee 12 turf wall,47,405,142
holee 12 turf wall,48,398,146
holee 12 turf wall,49,390,152
holee 12 turf wall,50,386,156
holee 12 turf wall,51,375,159
holee 12 turf wall,52,346,167
holee 12 turf wall,53,336,170
holee 12 turf wall,54,330,174
holee 12 turf wall,55,321,181
holee 12 turf wall,56,314,186
holee 12 turf wall,57,309,191
holee 12 turf wall,58,302,195
holee 12 turf wall,59,296,202
holee 12 turf wall,60,286,208
holee 12 turf wall,61,281,214
holee 12 turf wall,62,276,219
holee 12 turf wall,63,274,224
holee 12 turf wall,64,270,231
holee 12 turf wall,65,270,239
holee 12 turf wall,66,270,247
holee 12 turf wall,67,270,258
holee 12 turf wall,68,271,265
holee 12 turf wall,69,275,273
holee 12 turf wall,70,282,281
holee 12 turf wall,71,287,283
holee 12 turf wall,72,299,284
wall 2,1,326,258
wall 2,2,328,264
wall 2,3,332,264
wall 2,4,337,259
wall 2,5,342,254
wall 2,6,348,242
wall 2,7,355,229
wall 2,8,366,219
wall 2,9,374,208
wall 2,10,384,199
wall 2,11,393,189
wall 2,12,403,188
wall 2,13,411,191
wall 2,14,420,196
wall 2,15,429,202
wall 2,16,437,204
wall 2,17,443,206
wall 2,18,454,206
wall 2,19,453,197
wall 2,20,447,197
wall 2,21,437,194
wall 2,22,430,188
wall 2,23,427,179
wall 2,24,417,174
wall 2,25,406,176
wall 2,26,396,176
wall 2,27,385,175
wall 2,28,377,175
wall 2,29,364,177
wall 2,30,357,187
wall 2,31,350,192
wall 2,32,346,201
wall 2,33,344,213
wall 2,34,342,220
wall 2,35,342,229
wall 2,36,339,239
wall 2,37,333,249
